,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
201,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190610T010430_20190610T010455_016627_01F4B5_A870,49.98,-108.9,151,2019-06-10 01:04:30+00:00,2019,12.0
202,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190622T010431_20190622T010456_016802_01F9EA_B729,49.98,-108.9,151,2019-06-22 01:04:31+00:00,2019,12.0
203,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190704T010432_20190704T010457_016977_01FF18_1D8D,49.98,-108.9,151,2019-07-04 01:04:32+00:00,2019,12.0
204,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190716T010432_20190716T010457_017152_020442_9C66,49.98,-108.9,151,2019-07-16 01:04:32+00:00,2019,12.0
205,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190728T010433_20190728T010458_017327_020959_0572,49.98,-108.9,151,2019-07-28 01:04:33+00:00,2019,12.0
206,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190809T010434_20190809T010459_017502_020EA0_A603,49.98,-108.9,151,2019-08-09 01:04:34+00:00,2019,12.0
207,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190821T010435_20190821T010500_017677_021418_97C1,49.98,-108.9,151,2019-08-21 01:04:35+00:00,2019,12.0
208,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190902T010435_20190902T010500_017852_021986_38AC,49.98,-108.9,151,2019-09-02 01:04:35+00:00,2019,12.0
209,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190914T010436_20190914T010501_018027_021EFB_667D,49.98,-108.9,151,2019-09-14 01:04:36+00:00,2019,12.0
210,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190926T010436_20190926T010501_018202_022460_F219,49.98,-108.9,151,2019-09-26 01:04:36+00:00,2019,12.0
211,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191008T010436_20191008T010501_018377_0229E5_8711,49.98,-108.9,151,2019-10-08 01:04:36+00:00,2019,12.0
212,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191020T010436_20191020T010501_018552_022F45_5E3B,49.98,-108.9,151,2019-10-20 01:04:36+00:00,2019,12.0
194,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200405T010433_20200405T010458_021002_027D64_A480,49.98,-108.9,151,2020-04-05 01:04:33+00:00,2020,0.0
